price,year,brand,model,color,state,mileage,vin,
25,1994,ford,pickup,white,georgia,206162,1ftdf15y2rnb12612,
950,2001,ford,pk,red,illinois,229886,1ftrx17w41nb80705,
9270,2017,gmc,mpv,gray,virginia,19490,1gkknxls2hz262405,
11380,2019,jeep,mpv,black,michigan,12038,1c4hjxeg2kw600727,
5350,2019,hyundai,mpv,blue,florida,43536,km8j33a49ku860727,
2725,2004,chevrolet,door,black,south carolina,308451,1gcjc33204f177273,
3790,2015,ford,door,gray,georgia,100893,3fa6p0h71fr180238,
40514,2017,ford,door,white,michigan,90304,1ft7w2bt6heb60592,
0,1997,ford,door,green,wisconsin,146912,1ftdf18w8vna61251,
0,1998,ford,door,white,illinois,131367,1ftrf18l7wka62471,
9190,2017,gmc,mpv,gray,virginia,31394,1gkknxls7hz295013,
10330,2019,infiniti,mpv,gray,florida,25933,5n1dl0mm9kc556522,
1000,2008,acura,door,gray,michigan,118250,5j8tb18578a010979,
2925,2013,bmw,door,white,florida,46060,5uxwx9c57d0a24286,
3830,2015,ford,door,gold,georgia,50593,3fa6p0hdxfr241138,
43402,2017,ford,door,blue,michigan,62387,1ft7w2bt3hed62547,
1025,2009,gmc,door,black,michigan,169634,1gkfk03219r252659,
17200,2016,honda,van,gray,new jersey,72527,5fnrl5h65gb151898,
54680,2016,harley-davidson,road/street,black,virginia,9502,1hd1krm1xgb609213,
6940,2010,honda,door,no_color,pennsylvania,217290,5fnyf4h99ab034386,
13080,2019,infiniti,mpv,gray,florida,17243,jn8az2nf9k9685086,
25,2007,chevrolet,door,gray,virginia,194903,3gnfk16307g310044,
10630,2015,ford,door,white,georgia,82899,1ftew1eg0ffb32472,
